ds,WIND_SPEED_IN_KPH,CLOUD_COVER_IN_PERCENT,HUMIDITY_IN_PERCENT,RAIN_IN_MM,RAIN_PROB_IN_PERCENT,TEMPERATURE_IN_DEGC,HEAT_INDEX_IN_DEGC,WIND_GUST_IN_KPH
2023-01-01 00:00:00,2,75,84,0,0,26,26,7
2023-01-01 01:00:00,4,75,84,0,0,26,26,5
2023-01-01 02:00:00,4,75,84,0,0,26,26,12
2023-01-01 03:00:00,2,44,89,0,0,25,25,12
2023-01-01 04:00:00,5,75,84,0,0,26,26,13
2023-01-01 05:00:00,4,60,84,0,0,26,26,12
2023-01-01 06:00:00,4,44,84,0,0,26,26,11
2023-01-01 07:00:00,0,75,84,0,0,26,26,11
2023-01-01 08:00:00,4,75,84,0,0,26,26,14
2023-01-01 09:00:00,5,75,70,0,0,28,31,16
2023-01-01 10:00:00,9,30,77,0,0,28,32,20
2023-01-01 11:00:00,8,34,76,0,0,28,32,20
2023-01-01 12:00:00,8,37,75,0,0,29,33,20
2023-01-01 13:00:00,7,51,74,0,0,29,33,16
2023-01-01 14:00:00,4,72,77,0,0,28,32,14
2023-01-01 15:00:00,5,41,75,0,0,28,32,11
2023-01-01 16:00:00,5,41,75,0,0,28,32,12
2023-01-01 17:00:00,5,41,74,0,0,28,32,12
2023-01-01 18:00:00,5,41,74,0,0,29,32,13
2023-01-01 19:00:00,5,42,73,0,0,29,32,14
2023-01-01 20:00:00,5,42,73,0,0,29,33,15
2023-01-01 21:00:00,5,42,73,0,0,29,33,15
2023-01-01 22:00:00,5,42,72,0,0,29,33,16
2023-01-01 23:00:00,5,42,72,0,0,29,33,17
2023-01-02 00:00:00,5,42,71,0,0,29,33,18
2023-01-02 01:00:00,5,42,71,0,0,29,33,18
2023-01-02 02:00:00,5,42,71,0,0,29,33,19
2023-01-02 03:00:00,5,43,70,0,0,29,33,20
2023-01-02 04:00:00,5,43,70,0,0,29,33,21
2023-01-02 05:00:00,5,43,70,0,0,29,33,21
2023-01-02 06:00:00,5,43,69,0,0,29,33,22
2023-01-02 07:00:00,5,43,69,0,0,29,34,23
2023-01-02 08:00:00,5,43,68,0,0,30,34,24
2023-01-02 09:00:00,5,43,68,0,0,30,34,24
2023-01-02 10:00:00,5,43,68,0,0,30,34,25
2023-01-02 11:00:00,5,44,67,0,0,30,34,26
2023-01-02 12:00:00,5,44,67,0,0,30,34,27
2023-01-02 13:00:00,5,44,66,0,0,30,34,27
2023-01-02 14:00:00,5,44,66,0,0,30,34,28
2023-01-02 15:00:00,9,75,59,0,0,31,35,27
2023-01-02 16:00:00,15,44,59,0,0,31,35,26
2023-01-02 17:00:00,11,75,66,0,0,30,34,23
2023-01-02 18:00:00,9,75,70,0,5,29,33,23
2023-01-02 19:00:00,9,75,70,0,0,29,33,23
2023-01-02 20:00:00,5,75,79,0,5,28,32,19
2023-01-02 21:00:00,5,75,74,0,0,28,31,17
2023-01-02 22:00:00,4,44,89,0,5,26,26,14
2023-01-02 23:00:00,0,44,84,0,5,26,26,12
2023-01-03 00:00:00,4,44,89,2,5,26,26,10
2023-01-03 01:00:00,2,75,89,7,5,26,26,11
2023-01-03 02:00:00,2,75,89,0,5,26,26,13
2023-01-03 03:00:00,4,75,94,0,5,25,25,11
2023-01-03 04:00:00,4,75,94,0,0,25,25,14
2023-01-03 05:00:00,4,75,94,0,0,25,25,12
2023-01-03 06:00:00,8,100,94,0,0,25,25,13
2023-01-03 07:00:00,5,100,94,0,0,25,25,20
2023-01-03 08:00:00,6,88,92,0,0,25,25,22
2023-01-03 09:00:00,8,75,89,0,0,25,25,23
2023-01-03 10:00:00,9,75,94,0,5,25,25,31
2023-01-03 11:00:00,8,75,84,0,0,27,30,29
2023-01-03 12:00:00,5,75,79,0,0,28,32,28
2023-01-03 13:00:00,5,75,79,0,0,28,32,27
2023-01-03 14:00:00,19,69,75,2,5,28,30,33
2023-01-03 15:00:00,19,93,74,0,5,27,29,36
2023-01-03 16:00:00,11,100,79,0,5,28,32,26
2023-01-03 17:00:00,2,100,89,0,5,26,26,22
2023-01-03 18:00:00,5,100,89,6,5,26,26,24
2023-01-03 19:00:00,5,100,89,0,0,26,26,19
2023-01-03 20:00:00,4,100,89,0,0,26,26,18
2023-01-03 21:00:00,4,100,94,0,5,25,25,14
2023-01-03 22:00:00,4,75,94,2,5,25,25,13
2023-01-03 23:00:00,8,75,79,2,5,26,26,14
2023-01-04 00:00:00,4,75,84,3,5,26,26,14
2023-01-04 01:00:00,5,44,89,1,5,25,25,16
2023-01-04 02:00:00,4,44,83,0,5,25,25,12
2023-01-04 03:00:00,0,75,83,0,5,25,25,13
2023-01-04 04:00:00,0,75,83,0,0,25,25,13
2023-01-04 05:00:00,8,75,83,0,5,25,25,13
2023-01-04 06:00:00,5,75,83,0,0,25,25,14
2023-01-04 07:00:00,7,75,78,0,2,26,26,16
2023-01-04 08:00:00,9,75,74,1,5,26,26,18
2023-01-04 09:00:00,9,75,70,0,5,27,29,20
2023-01-04 10:00:00,12,82,70,0,5,27,29,22
2023-01-04 11:00:00,14,88,70,0,5,28,30,25
2023-01-04 12:00:00,17,75,66,0,5,29,32,28
2023-01-04 13:00:00,9,75,62,0,0,29,31,27
2023-01-04 14:00:00,9,75,66,0,5,29,32,31
2023-01-04 15:00:00,8,75,70,0,0,28,31,29
2023-01-04 16:00:00,18,75,66,0,5,28,30,21
2023-01-04 17:00:00,15,75,66,0,5,28,30,22
2023-01-04 18:00:00,8,75,84,0,0,26,26,21
2023-01-04 19:00:00,0,100,89,0,5,25,25,18
2023-01-04 20:00:00,4,100,89,0,5,25,25,20
2023-01-04 21:00:00,5,100,94,0,0,24,24,14
2023-01-04 22:00:00,6,88,94,6,2,24,24,16
2023-01-04 23:00:00,8,75,94,11,5,24,24,19
2023-01-05 00:00:00,9,75,89,0,5,25,25,28
2023-01-05 01:00:00,8,75,83,10,5,25,25,16
2023-01-05 02:00:00,4,100,94,14,5,24,24,13
2023-01-05 03:00:00,4,100,83,6,5,25,25,12
2023-01-05 04:00:00,5,100,94,1,5,24,24,21
2023-01-05 05:00:00,8,100,94,0,0,24,24,27
2023-01-05 06:00:00,8,100,94,1,5,24,24,26
